Criterion,x[m],y[m],N[kN/m],M[kNm/m],w_k[mm]
min My,26.746,10.815,-161.5,-13,0
max My,26.746,10.815,-82.1,1.1,0
max Ny,26.054,10.815,178.9,6.4,0
min My,26.054,10.815,33.7,0.5,0
max My,26.054,10.815,171.8,6.8,0
max Ny,27.317,7.603,64.2,57.9,0.0590486102052348
min My,27.317,7.603,-5.9,-49.8,0.0397641992954196
max My,27.317,7.603,14.6,163.9,0.136834606070774
max Ny,28.183,7.603,83.5,35,0.044240622081337
min My,28.183,7.603,59.9,-35.2,0.03983294808193
max My,28.183,7.603,21.1,179.8,0.154930238578892
max Ny,28.183,7.747,89.5,26.2,0.0385110055184825
min My,28.183,7.747,68.2,-33.6,0.0401410859528584
max My,28.183,7.747,18.4,162.6,0.136440597582246
max Ny,27.317,7.747,72.6,63.4,0.0650862961450822
min My,27.317,7.747,-1,-40.7,0.0331657937219959
max My,27.317,7.747,24.6,156.7,0.132704670826776
max Ny,27.317,8.159,62.3,49,0.0514601537617353
min My,27.317,8.159,10.9,-18.4,0.0170188453823716
max My,27.317,8.159,11.9,128.6,0.107442244489022
max Ny,28.183,8.159,63.8,76.3,0.0739680514850466
min My,28.183,8.159,-5,-30.9,0.0244399940701238
max My,28.183,8.159,31.5,127.5,0.110015417412188
max Ny,28.183,9.141,45.9,17,0.022542276668335
min My,28.183,9.141,-18.3,-8.1,0.00368867413452192
max My,28.183,9.141,16,51.5,0.0450219923508065
max Ny,27.317,9.141,43.7,-7.8,0.0150677901831551
min My,27.317,9.141,20.9,-19.6,0.0198340555453249
max My,27.317,9.141,9.1,44.8,0.0383064091627186
max Ny,27.317,9.627,103.5,-7.3,0
min My,27.317,9.627,8.1,-23.5,0.0206869202860284
max My,27.317,9.627,40.8,-1.2,0
max Ny,28.183,9.627,49.4,-15.2,0.021830333808739
min My,28.183,9.627,-0.8,-30.7,0.0250089427906058
max My,28.183,9.627,13.4,7.2,0.00836750948540997
max Ny,28.183,9.973,29.3,4.6,0.00967384580018903
min My,28.183,9.973,-5.1,-7.1,0.00494185719063166
max My,28.183,9.973,-9.9,24.2,0.0181093699793048
max Ny,27.317,9.973,10.1,-2.6,0.00407152447913746
min My,27.317,9.973,-101.2,-10.1,0
max My,27.317,9.973,-9.4,4.7,0.00231817336447854
max Ny,27.317,10.185,-8.7,5.4,0.00298159690682119
min My,27.317,10.185,-141.1,-12.4,0
max My,27.317,10.185,-21.7,10.8,0.00531205033585879
max Ny,28.183,10.185,61.2,13,0.0226001915444928
min My,28.183,10.185,48.9,-1.5,0
max My,28.183,10.185,2.3,40.4,0.0334996904156876
max Ny,28.183,10.415,58.1,-10.1,0.0198444246907018
min My,28.183,10.415,43.7,-15.4,0.0208422983569446
max My,28.183,10.415,-46.5,-2.7,0
max Ny,27.317,10.415,-10.5,4.2,0.00176976498957303
min My,27.317,10.415,-141.3,-15.3,0
max My,27.317,10.415,-24.2,9.8,0.00417123788718428
max Ny,27.317,10.585,-13.9,-7,0.00346743517226526
min My,27.317,10.585,-156.9,-12.6,0
max My,27.317,10.585,-43.7,4.6,0
max Ny,28.183,10.585,127.5,8,0
min My,28.183,10.585,112.9,4.3,0
max My,28.183,10.585,14.7,16.2,0.0159171876459989
max Ny,28.183,10.815,172.2,35.9,0.0630911905852027
min My,28.183,10.815,122.6,17.2,0.0392013011496113
max My,28.183,10.815,87.4,45.5,0.053401268968247
max Ny,27.317,10.815,-26.2,0.2,0
min My,27.317,10.815,-187,-8.9,0
max My,27.317,10.815,-81.6,13.8,0.00118610322795182
max Ny,28.817,7.603,103.3,129.9,0.124954027025316
min My,28.817,7.603,47.2,-63.7,0.0606420367368227
max My,28.817,7.603,80.1,191.2,0.18609866025084
max Ny,29.683,7.603,52.6,44.8,0.0462338413267063
min My,29.683,7.603,13.6,-115.8,0.0972575013733984
max My,29.683,7.603,28.3,175.6,0.15103741439847
max Ny,29.683,7.747,47,118.2,0.105172853039245
min My,29.683,7.747,3,-94.9,0.0782683435726943
max My,29.683,7.747,25.7,166.3,0.140762532606103
max Ny,28.817,7.747,100.8,117.7,0.114540511645968
min My,28.817,7.747,45.7,-59.3,0.0567752619285628
max My,28.817,7.747,71.9,173.6,0.159668185177196
max Ny,28.817,8.159,120.5,26.3,0.0450194385620896
min My,28.817,8.159,101.9,-28.6,0.0428955824098584
max My,28.817,8.159,33.3,125.5,0.108698343084587
max Ny,29.683,8.159,85,41.7,0.0498874102428591
min My,29.683,8.159,63.3,-39.1,0.0436293222797112
max My,29.683,8.159,0.2,125.1,0.102516112756257
max Ny,29.683,9.141,80,21.6,0.0330197830478721
min My,29.683,9.141,41,-22.9,0.0263025437609644
max My,29.683,9.141,17.3,37.4,0.0337148348293105
max Ny,28.817,9.141,103.4,9.2,0
min My,28.817,9.141,75,-8.9,0
max My,28.817,9.141,35,52,0.0488594489297896
max Ny,28.817,9.627,-0.4,-11.5,0.00935059788462187
min My,28.817,9.627,-333.3,-41.2,0.000223104146608307
max My,28.817,9.627,-21.4,-2.9,7.06424650519346E-05
max Ny,29.683,9.627,-42.2,-30.7,0.0180871692561052
min My,29.683,9.627,-366.8,-80.9,0.0150277239183178
max My,29.683,9.627,-49.2,-27.1,0.0141155778755657
max Ny,29.683,9.973,-34.1,-25.3,0.015013023291052
min My,29.683,9.973,-252,-36.9,0.00159641298604316
max My,29.683,9.973,-112.2,-3.1,0
max Ny,28.817,9.973,1.8,-4.2,0.00376045680458338
min My,28.817,9.973,-223.7,-18,0
max My,28.817,9.973,-76.8,8.2,0
max Ny,28.817,10.185,-47.4,7.7,0.000562519826221167
min My,28.817,10.185,-299.1,-17.2,0
max My,28.817,10.185,-86.4,13.8,0.000936375846491225
max Ny,29.683,10.185,-15.8,-31,0.0226667975395369
min My,29.683,10.185,-27.6,-38.2,0.0265617424034424
max My,29.683,10.185,-338.8,50.1,0.00229778656230253
max Ny,29.683,10.415,-15.4,-16.5,0.0108962692080824
min My,29.683,10.415,-28.3,-26,0.0165108657840908
max My,29.683,10.415,-317.3,156.5,0.076553829632788
max Ny,28.817,10.415,-47.3,0.3,0
min My,28.817,10.415,-305.3,-23.9,0
max My,28.817,10.415,-60.2,4.1,0
max Ny,28.817,10.585,-78.8,-1.1,0
min My,28.817,10.585,-368.3,-22,0
max My,28.817,10.585,-93.5,0.1,0
max Ny,29.683,10.585,-52.2,87.6,0.0627739216170089
min My,29.683,10.585,-276,36.7,0.00073974874152987
max My,29.683,10.585,-143.8,150,0.098432797614496
max Ny,29.683,10.815,-42.5,10.5,0.00244396530907567
min My,29.683,10.815,-350.2,-34.3,0
max My,29.683,10.815,-58.9,20.1,0.00730529363425443
max Ny,28.817,10.815,-87.7,-3.7,0
min My,28.817,10.815,-384.9,-25.3,0
max My,28.817,10.815,-99.2,-2.3,0
max Ny,30.254,7.603,65.1,-9.9,0.0212861280828952
min My,30.254,7.603,45.9,-111,0.0990830356577865
max My,30.254,7.603,-65.5,163.4,0.122505708927766
max Ny,30.946,7.603,50,6.9,0.0159218034534205
min My,30.946,7.603,20.5,-133,0.112566637558989
max My,30.946,7.603,12.9,173.9,0.144742880806533
max Ny,30.946,7.747,78.6,12.4,0.0259904528388387
min My,30.946,7.747,50.6,-113.9,0.10230128440471
max My,30.946,7.747,11.6,158.2,0.131636388699473
max Ny,30.254,7.747,50.2,-1.4,0
min My,30.254,7.747,29.6,-90.4,0.0792996414784955
max My,30.254,7.747,-70,153.7,0.113801377171301
max Ny,30.254,8.159,-0.8,81.2,0.0663781082285778
min My,30.254,8.159,-72.5,-72.1,0.0467597629366521
max My,30.254,8.159,-20.3,122.8,0.0970526246883589
max Ny,30.946,8.159,43,8.8,0.0156338234915908
min My,30.946,8.159,18.3,-72.6,0.0627088051989633
max My,30.946,8.159,-17.1,123.3,0.0980184466265779
max Ny,30.946,9.141,53.3,44.9,0.0464457942878608
min My,30.946,9.141,17.3,-1.6,0
max My,30.946,9.141,1.7,55.5,0.0457637947240698
max Ny,30.254,9.141,-8,24.2,0.0184350039926743
min My,30.254,9.141,-62.4,-22.5,0.00864303453084095
max My,30.254,9.141,-16,37.6,0.0280312646641159
max Ny,30.254,9.627,1.1,-15.9,0.0132185981123655
