    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	10472	           4	 7,50000000000000E+000	-5,41250000000000E+000	-1,41135233068402E+000	-4,30371184543114E+001	5,25774762967114E+001	 9,80879330754423E+001	-8,18417673706548E+001	9,81206350628455E+001	 1,48745794229906E+002	 0,00000000000000E+000	1,69106573307099E+002
                      	10488	           5	 7,50000000000000E+000	-5,55000000000000E+000	 7,09371397746515E+000	-4,35147633541929E+001	5,67605983120988E+001	 8,70779365768018E+001	-8,46555387360919E+001	8,70779365768018E+001	 1,61632388065812E+002	 0,00000000000000E+000	1,74026869363399E+002
           Plate\_1\_8	  493	           1	-7,50000000000000E+000	-5,55000000000000E+000	 5,96851338000134E+000	-4,35085738601999E+001	5,67049493887807E+001	-8,77522800925969E+001	-8,78217452651399E+001	8,49817955254087E+001	-1,60876007637262E+002	-1,74341870621914E+002	0,00000000000000E+000
 Element 27-49 (Plate)	  496	           2	-7,50000000000000E+000	-5,66250000000000E+000	 1,19406831805939E+001	-4,38891056849801E+001	5,98076859906394E+001	-8,12408538990165E+001	-8,13242888640652E+001	8,45244902856059E+001	-1,70404948488464E+002	-1,79275946347222E+002	0,00000000000000E+000
                (ERSS)	  495	           3	-7,50000000000000E+000	-5,77500000000000E+000	 1,87957285186929E+001	-4,42604151686202E+001	6,33207182585851E+001	-7,20350611570989E+001	-7,21149570764342E+001	8,71957120323830E+001	-1,79053851782161E+002	-1,84471050815245E+002	0,00000000000000E+000
                      	  494	           4	-7,50000000000000E+000	-5,88750000000000E+000	 2,62394549527227E+001	-4,46222313479922E+001	6,73367310876735E+001	-6,01271167660893E+001	-6,01753163357816E+001	8,80504322050792E+001	-1,86515306856172E+002	-1,89622621024517E+002	0,00000000000000E+000
                      	  881	           5	-7,50000000000000E+000	-6,00000000000000E+000	 3,39776680411076E+001	-4,49742832599681E+001	7,08362633970255E+001	-4,55092356252327E+001	-4,55092356252327E+001	8,91925040988587E+001	-1,92481247529720E+002	-1,94566135252983E+002	0,00000000000000E+000
           Plate\_2\_8	10488	           1	 7,50000000000000E+000	-5,55000000000000E+000	 7,29350158897196E+000	-4,35149605434406E+001	5,66967826282475E+001	 8,61844971687222E+001	-8,46420321853521E+001	8,61844971687222E+001	 1,61632388065812E+002	 0,00000000000000E+000	1,74026869363399E+002
 Element 30-52 (Plate)	10489	           2	 7,50000000000000E+000	-5,66250000000000E+000	 1,43716520228445E+001	-4,38953730828765E+001	5,99313242758039E+001	 7,76563228457762E+001	-8,41558172126200E+001	7,76563228457762E+001	 1,70868559761123E+002	 0,00000000000000E+000	1,80141370259221E+002
                (ERSS)	10490	           3	 7,50000000000000E+000	-5,77500000000000E+000	 2,18992439035018E+001	-4,42665597223586E+001	6,30094261379074E+001	 6,68037418653852E+001	-8,68605936350465E+001	6,68037418653852E+001	 1,79017241426309E+002	 0,00000000000000E+000	1,85458289405881E+002
                      	10491	           4	 7,50000000000000E+000	-5,88750000000000E+000	 2,95776876936563E+001	-4,46282504360401E+001	6,70297100734868E+001	 5,36625761597536E+001	-8,74334003962059E+001	5,36625761597536E+001	 1,85817099678699E+002	 0,00000000000000E+000	1,90011332004985E+002
                      	10492	           5	 7,50000000000000E+000	-6,00000000000000E+000	 3,71083938560202E+001	-4,49801751980742E+001	7,06349787586906E+001	 3,82686476610862E+001	-8,84947299214520E+001	3,82686476610862E+001	 1,91007587845084E+002	 0,00000000000000E+000	1,93785081136870E+002
           Plate\_1\_9	  881	           1	-7,50000000000000E+000	-6,00000000000000E+000	 3,41000436608995E+001	-4,49741640518812E+001	7,16175285529978E+001	-4,23205041392272E+001	-4,23516981987017E+001	9,06136099299145E+001	-1,92481247529720E+002	-1,94566135252983E+002	0,00000000000000E+000
 Element 31-53 (Plate)	  884	           2	-7,50000000000000E+000	-6,25000000000000E+000	 4,89702744195725E+001	-4,57224344709631E+001	7,81716619025902E+001	-1,93295209111075E+001	-1,93295209111075E+001	9,07128614494355E+001	-2,00245744625842E+002	-2,00485677741123E+002	9,69241809480224E-001
                (ERSS)	  883	           3	-7,50000000000000E+000	-6,50000000000000E+000	 6,35727243296084E+001	-4,64222118926873E+001	8,48649980732420E+001	 5,68881854874280E+000	 0,00000000000000E+000	9,11654903357801E+001	-2,01963521051848E+002	-2,02120426142226E+002	2,14194827724298E+000
