    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
           Plate\_1\_8	  493	           1	-7,50000000000000E+000	-5,55000000000000E+000	 6,40055637025778E+000	-4,35085738601999E+001	5,67049493887807E+001	-8,78217452651399E+001	-8,78217452651399E+001	8,49817955254087E+001	-1,61121492627447E+002	-1,74341870621914E+002	0,00000000000000E+000
 Element 27-49 (Plate)	  496	           2	-7,50000000000000E+000	-5,66250000000000E+000	 1,23855029236917E+001	-4,38891056849801E+001	5,98076859906394E+001	-8,13242888640652E+001	-8,13242888640652E+001	8,45244902856059E+001	-1,70659093315739E+002	-1,79275946347222E+002	0,00000000000000E+000
                (ERSS)	  495	           3	-7,50000000000000E+000	-5,77500000000000E+000	 1,92480829466326E+001	-4,42604151686202E+001	6,33207182585851E+001	-7,21149570764342E+001	-7,21149570764342E+001	8,71957120323830E+001	-1,79317521347542E+002	-1,84471050815245E+002	0,00000000000000E+000
                      	  494	           4	-7,50000000000000E+000	-5,88750000000000E+000	 2,66973926502741E+001	-4,46222313479922E+001	6,73367310876735E+001	-6,01753163357816E+001	-6,01753163357816E+001	8,80504322050792E+001	-1,86786377089021E+002	-1,89622621024517E+002	0,00000000000000E+000
                      	  881	           5	-7,50000000000000E+000	-6,00000000000000E+000	 3,44425282458101E+001	-4,49742832599681E+001	7,08362633970255E+001	-4,54869330756421E+001	-4,54869330756421E+001	8,91925040988587E+001	-1,92754239616431E+002	-1,94566135252983E+002	0,00000000000000E+000
           Plate\_2\_8	10488	           1	 7,50000000000000E+000	-5,55000000000000E+000	 7,72537867639716E+000	-4,35149605434406E+001	5,66967826282475E+001	 8,61716849374215E+001	-8,46420321853521E+001	8,61716849374215E+001	 1,62045930847244E+002	 0,00000000000000E+000	1,74026869363399E+002
 Element 30-52 (Plate)	10489	           2	 7,50000000000000E+000	-5,66250000000000E+000	 1,48738015591369E+001	-4,38953730828765E+001	5,99313242758039E+001	 7,75175972641715E+001	-8,41558172126200E+001	7,75175972641715E+001	 1,71272761227026E+002	 0,00000000000000E+000	1,80141370259221E+002
                (ERSS)	10490	           3	 7,50000000000000E+000	-5,77500000000000E+000	 2,24441145148753E+001	-4,42665597223586E+001	6,30094261379074E+001	 6,65989619427056E+001	-8,68605936350465E+001	6,65989619427056E+001	 1,79401986202819E+002	 0,00000000000000E+000	1,85458289405881E+002
                      	10491	           4	 7,50000000000000E+000	-5,88750000000000E+000	 3,01452464557557E+001	-4,46282504360401E+001	6,70297100734868E+001	 5,34246538839077E+001	-8,74334003962059E+001	5,34246538839077E+001	 1,86176448549108E+002	 0,00000000000000E+000	1,90011332004985E+002
                      	10492	           5	 7,50000000000000E+000	-6,00000000000000E+000	 3,76861262939218E+001	-4,49801751980742E+001	7,06349787586906E+001	 3,80035479986614E+001	-8,84947299214520E+001	3,80035479986614E+001	 1,91338851943878E+002	 0,00000000000000E+000	1,93785081136870E+002
           Plate\_1\_9	  881	           1	-7,50000000000000E+000	-6,00000000000000E+000	 3,45430454715889E+001	-4,49741640518812E+001	7,16175285529978E+001	-4,23516981987017E+001	-4,23516981987017E+001	9,06136099299145E+001	-1,92754239616431E+002	-1,94566135252983E+002	0,00000000000000E+000
 Element 31-53 (Plate)	  884	           2	-7,50000000000000E+000	-6,25000000000000E+000	 4,94816940030846E+001	-4,57224344709631E+001	7,81716619025902E+001	-1,90706581935510E+001	-1,90706581935510E+001	9,07128614494355E+001	-2,00485677741123E+002	-2,00485677741123E+002	9,69241809480224E-001
                (ERSS)	  883	           3	-7,50000000000000E+000	-6,50000000000000E+000	 6,41041101664986E+001	-4,64222118926873E+001	8,48649980732420E+001	 6,08970411210939E+000	 0,00000000000000E+000	9,11654903357801E+001	-2,02120426142226E+002	-2,02120426142226E+002	2,14194827724298E+000
