    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	10488	           5	 7,50000000000000E+000	-5,55000000000000E+000	-1,45302501239930E+002	-1,45302501239930E+002	5,67605983120988E+001	-9,09006454078618E+000	-8,46555387360919E+001	8,84812316130301E+001	-2,38984772067802E+002	-2,39013132061417E+002	1,74026869363399E+002
           Plate\_1\_8	  493	           1	-7,50000000000000E+000	-5,55000000000000E+000	-1,46479096190325E+002	-1,46479096190325E+002	5,67049493887807E+001	 6,16327783892023E+000	-8,97453832924310E+001	8,49817955254087E+001	 2,39494470589776E+002	-1,74341870621914E+002	2,39495531794659E+002
 Element 27-49 (Plate)	  496	           2	-7,50000000000000E+000	-5,66250000000000E+000	-1,47121124554893E+002	-1,47121124554893E+002	5,98076859906394E+001	-2,95766412486179E+000	-8,54781938692351E+001	8,45244902856059E+001	 2,39676180584928E+002	-1,79275946347222E+002	2,39681988497140E+002
                (ERSS)	  495	           3	-7,50000000000000E+000	-5,77500000000000E+000	-1,47764016460688E+002	-1,47764016460688E+002	6,33207182585851E+001	-1,21987208177044E+001	-8,05031339655983E+001	8,71957120323830E+001	 2,38824010310283E+002	-1,84471050815245E+002	2,38835409805367E+002
                      	  494	           4	-7,50000000000000E+000	-5,88750000000000E+000	-1,48401551016093E+002	-1,48401551016093E+002	6,73367310876735E+001	-2,15412311069541E+001	-7,57691796729860E+001	8,80504322050792E+001	 2,36927031612244E+002	-1,89622621024517E+002	2,36947327414912E+002
                      	  881	           5	-7,50000000000000E+000	-6,00000000000000E+000	-1,49027507329492E+002	-1,49027507329492E+002	7,08362633970255E+001	-3,09665338599573E+001	-7,24001204624031E+001	8,91925040988587E+001	 2,33974614192787E+002	-1,94566135252983E+002	2,34005250954157E+002
           Plate\_2\_8	10488	           1	 7,50000000000000E+000	-5,55000000000000E+000	-1,45319421240554E+002	-1,45319421240554E+002	5,66967826282475E+001	-9,05040229196310E+000	-8,46420321853521E+001	8,77883333160877E+001	-2,38984772067801E+002	-2,39013132061417E+002	1,74026869363399E+002
 Element 30-52 (Plate)	10489	           2	 7,50000000000000E+000	-5,66250000000000E+000	-1,45927529897755E+002	-1,45927529897755E+002	5,99313242758039E+001	 1,32719184345635E-002	-8,41558172126200E+001	8,22364489154838E+001	-2,39494522702209E+002	-2,39532618851247E+002	1,80141370259221E+002
                (ERSS)	10490	           3	 7,50000000000000E+000	-5,77500000000000E+000	-1,46538094815209E+002	-1,46538094815209E+002	6,30094261379074E+001	 9,20197278856337E+000	-8,68605936350465E+001	7,72847023965258E+001	-2,38976585647606E+002	-2,39025727423230E+002	1,85458289405881E+002
                      	10491	           4	 7,50000000000000E+000	-5,88750000000000E+000	-1,47142423592758E+002	-1,47142423592758E+002	6,70297100734868E+001	 1,84920215077983E+001	-8,74334003962059E+001	7,47935535575504E+001	-2,37419801828458E+002	-2,37481571414695E+002	1,90011332004985E+002
                      	10492	           5	 7,50000000000000E+000	-6,00000000000000E+000	-1,47731823830243E+002	-1,47731823830243E+002	7,06349787586906E+001	 2,78597392655142E+001	-8,84947299214520E+001	7,25160769147130E+001	-2,34813484003895E+002	-2,34889752880946E+002	1,93785081136870E+002
           Plate\_1\_9	  881	           1	-7,50000000000000E+000	-6,00000000000000E+000	-1,49031028469703E+002	-1,49031028469703E+002	7,16175285529978E+001	-3,06840840769008E+001	-7,14450665845569E+001	9,06136099299145E+001	 2,33974614192787E+002	-1,94566135252983E+002	2,34005250954157E+002
 Element 31-53 (Plate)	  884	           2	-7,50000000000000E+000	-6,25000000000000E+000	-1,50322572552489E+002	-1,50322572552489E+002	7,81716619025902E+001	-5,18375876586543E+001	-7,56841860236385E+001	9,07128614494355E+001	 2,23674813612073E+002	-2,00485677741123E+002	2,23674813612073E+002
                (ERSS)	  883	           3	-7,50000000000000E+000	-6,50000000000000E+000	-1,51648285556324E+002	-1,51648285556324E+002	8,48649980732420E+001	-7,36242793488858E+001	-8,55820616335291E+001	9,11654903357801E+001	 2,08001716335743E+002	-2,02120426142226E+002	2,08001716335743E+002
