    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                (ERSS)	  190	           3	-7,50000000000000E+000	-4,25000000000000E+000	-3,86814080881914E+001	-3,86814080881914E+001	3,65932584649021E-005	 3,06136270150922E+000	 0,00000000000000E+000	3,06136270150922E+000	-2,78430617379859E+000	-2,78430617379859E+000	0,00000000000000E+000
                      	  189	           4	-7,50000000000000E+000	-4,62500000000000E+000	-4,01567889156480E+001	-4,01567889156480E+001	3,60067284540300E-005	 2,05752358113822E+000	 0,00000000000000E+000	2,05752358113822E+000	-1,82790609409485E+000	-1,82790609409485E+000	0,00000000000000E+000
                      	  416	           5	-7,50000000000000E+000	-5,00000000000000E+000	-4,14982007559924E+001	-4,14982007559924E+001	3,51684868979754E-005	 1,34201872849858E+000	 0,00000000000000E+000	1,34201872849858E+000	-1,20286888895650E+000	-1,20286888895650E+000	0,00000000000000E+000
           Plate\_2\_6	 9799	           1	 7,50000000000000E+000	-3,50000000000000E+000	-3,53451787678518E+001	-3,53451787678518E+001	3,63924328783755E-005	-5,53366176823894E+000	-5,53366176823894E+000	0,00000000000000E+000	 5,98160908355193E+000	 0,00000000000000E+000	5,98160908355193E+000
 Element 21-29 (Plate)	 9800	           2	 7,50000000000000E+000	-3,87500000000000E+000	-3,70819408646495E+001	-3,70819408646495E+001	3,63165846740668E-005	-4,25175184795899E+000	-4,25175184795899E+000	0,00000000000000E+000	 4,14685180960447E+000	 0,00000000000000E+000	4,14685180960447E+000
                (ERSS)	 9801	           3	 7,50000000000000E+000	-4,25000000000000E+000	-3,86888605281650E+001	-3,86888605281650E+001	3,59540170142002E-005	-3,05998444359176E+000	-3,05998444359176E+000	0,00000000000000E+000	 2,78379555009436E+000	 0,00000000000000E+000	2,78379555009436E+000
                      	 9802	           4	 7,50000000000000E+000	-4,62500000000000E+000	-4,01641015223970E+001	-4,01641015223970E+001	3,53243482693675E-005	-2,05699386873794E+000	-2,05699386873794E+000	0,00000000000000E+000	 1,82774867791188E+000	 0,00000000000000E+000	1,82774867791188E+000
                      	10469	           5	 7,50000000000000E+000	-5,00000000000000E+000	-4,15058276113441E+001	-4,15058276113441E+001	3,44471968101606E-005	-1,34141443699822E+000	-1,34141443699822E+000	0,00000000000000E+000	 1,20288070776189E+000	 0,00000000000000E+000	1,20288070776189E+000
           Plate\_1\_7	  416	           1	-7,50000000000000E+000	-5,00000000000000E+000	-4,15120865427802E+001	-4,15120865427802E+001	3,51800135122073E-005	 1,47284962505157E+000	 0,00000000000000E+000	1,47284962505157E+000	-1,20286888895630E+000	-1,20286888895630E+000	0,00000000000000E+000
 Element 22-30 (Plate)	  419	           2	-7,50000000000000E+000	-5,13750000000000E+000	-4,20321753500855E+001	-4,20321753500855E+001	3,47571361499250E-005	 1,39507188744262E+000	 0,00000000000000E+000	1,39507188744262E+000	-1,00546504093205E+000	-1,00546504093205E+000	0,00000000000000E+000
