    Structural element	 Node	Local number	                 X [m]	                 Y [m]	              N [kN/m]	          N_min [kN/m]	         N_max [kN/m]	              Q [kN/m]	          Q_min [kN/m]	         Q_max [kN/m]	            M [kN m/m]	        M_min [kN m/m]	       M_max [kN m/m]
                      	 8644	           4	 7,50000000000000E+000	-3,25000000000000E+000	-1,30457119640667E+002	-1,32305941154656E+002	3,28155140692901E+001	-1,88548746600727E+002	-1,90199781542857E+002	9,67703458897097E+001	-9,60091140727030E-001	-1,02811641704657E+002	1,71578898703289E+002
                      	 9799	           5	 7,50000000000000E+000	-3,50000000000000E+000	-1,37983689936641E+002	-1,40063934252784E+002	3,64431459796041E+001	-1,59665471927258E+002	-1,65160200506891E+002	1,15464007594358E+002	-4,43674020371415E+001	-9,62722535624849E+001	1,60776974325916E+002
           Plate\_1\_6	  188	           1	-7,50000000000000E+000	-3,50000000000000E+000	-1,34061693013375E+002	-1,36169010757020E+002	4,03317928497430E+001	 1,68346758614116E+002	-1,18663366264921E+002	1,70773827001881E+002	 4,72130263627893E+001	-1,60787721839846E+002	9,78521009320465E+001
 Element 18-26 (Plate)	  191	           2	-7,50000000000000E+000	-3,87500000000000E+000	-1,50713455022301E+002	-1,53161213842539E+002	3,89848003837034E+001	 1,12609594166895E+002	-1,23684381935101E+002	1,34541357127289E+002	 9,91466484393077E+001	-1,57347931387006E+002	1,21029360796889E+002
                (ERSS)	  190	           3	-7,50000000000000E+000	-4,25000000000000E+000	-1,60863983396571E+002	-1,63642075397601E+002	3,74503156609274E+001	 6,97699507824959E+001	-1,23386457039271E+002	1,05406905378999E+002	 1,33498704231034E+002	-1,59485756366087E+002	1,66027518628275E+002
                      	  189	           4	-7,50000000000000E+000	-4,62500000000000E+000	-1,69311789946391E+002	-1,72410385901602E+002	3,57511829795831E+001	 2,94675619109141E+001	-1,18453914652087E+002	8,12989311802042E+001	 1,51803191016404E+002	-1,62951796219039E+002	2,00264473154444E+002
                      	  416	           5	-7,50000000000000E+000	-5,00000000000000E+000	-1,80855386481967E+002	-1,84264935833938E+002	4,01085665993626E+001	-1,86578389978556E+001	-1,10407098752452E+002	7,74527807091294E+001	 1,54404869436002E+002	-1,68315206385771E+002	2,24101568121483E+002
           Plate\_2\_6	 9799	           1	 7,50000000000000E+000	-3,50000000000000E+000	-1,36038901012301E+002	-1,38119397901200E+002	3,93919899338932E+001	-1,63817033677590E+002	-1,65736049213202E+002	1,18280385471828E+002	-4,43674020371416E+001	-9,62722535624849E+001	1,60776974325916E+002
 Element 21-29 (Plate)	 9800	           2	 7,50000000000000E+000	-3,87500000000000E+000	-1,51532917580423E+002	-1,53952418669625E+002	3,81204325987477E+001	-1,10613511451750E+002	-1,33456982506976E+002	1,24887820095806E+002	-9,51320736722750E+001	-1,20782411466899E+002	1,57060679655425E+002
                (ERSS)	 9801	           3	 7,50000000000000E+000	-4,25000000000000E+000	-1,61232207686165E+002	-1,63982030686977E+002	3,66387088501262E+001	-6,87518394573036E+001	-1,06055454919536E+002	1,24069917909684E+002	-1,28957780559299E+002	-1,62828253900338E+002	1,59044331286611E+002
                      	 9802	           4	 7,50000000000000E+000	-4,62500000000000E+000	-1,69856767358060E+002	-1,72928790245112E+002	3,49735305653735E+001	-2,80542162015894E+001	-8,11723848645340E+001	1,17786113560388E+002	-1,46853297913132E+002	-1,97533137410303E+002	1,62407431892300E+002
                      	10469	           5	 7,50000000000000E+000	-5,00000000000000E+000	-1,82126592624640E+002	-1,85513253635892E+002	3,97136455919448E+001	 2,16571598080527E+001	-7,76658174548659E+001	1,07995841694840E+002	-1,48659055070631E+002	-2,22144999199246E+002	1,66262183883502E+002
           Plate\_1\_7	  416	           1	-7,50000000000000E+000	-5,00000000000000E+000	-1,78358018176873E+002	-1,81774261125712E+002	4,09017038929366E+001	-1,33654080077104E+001	-1,08898270164973E+002	7,85398776498060E+001	 1,54404869436002E+002	-1,68315206385771E+002	2,24101568121483E+002
 Element 22-30 (Plate)	  419	           2	-7,50000000000000E+000	-5,13750000000000E+000	-1,81541168791457E+002	-1,85102802372707E+002	4,55939766530369E+001	-2,91638219450314E+001	-1,03233592651134E+002	7,92334119574796E+001	 1,51493150687770E+002	-1,69463992822479E+002	2,30169189333849E+002
                (ERSS)	  418	           3	-7,50000000000000E+000	-5,27500000000000E+000	-1,85112184349623E+002	-1,88819299605106E+002	4,94429544003687E+001	-4,59480299025717E+001	-9,97700527749494E+001	8,18123414910688E+001	 1,46338886378917E+002	-1,70342895977704E+002	2,34771133677013E+002
                      	  417	           4	-7,50000000000000E+000	-5,41250000000000E+000	-1,89076720873642E+002	-1,92929434731441E+002	5,25703970441038E+001	-6,37247349923040E+001	-9,63266606506662E+001	8,20272438596854E+001	 1,38809057269723E+002	-1,70016652759444E+002	2,37886544753670E+002
                      	  493	           5	-7,50000000000000E+000	-5,55000000000000E+000	-1,93440434385784E+002	-1,97438889660245E+002	5,67733040469499E+001	-8,25006403262010E+001	-9,13969576988314E+001	8,50248742117465E+001	 1,28769585797960E+002	-1,74341870621914E+002	2,39495531794659E+002
